frame,raw_detection_count,target_detection_count,active_track_count,decode_ms,queue_wait_ms,inference_tracking_ms,state_build_ms,consumer_total_ms,instant_consumer_fps
1,23,23,23,18.749,18.88,637.364,2.972,640.339,1.562
2,21,21,21,17.486,0.03,24.541,2.736,27.28,36.656
3,19,19,19,33.356,0.026,21.823,2.238,24.065,41.553
4,20,20,20,19.472,0.022,20.925,2.22,23.149,43.198
5,18,18,18,18.924,0.022,20.932,2.007,22.943,43.586
6,18,18,18,18.491,0.022,21.067,2.042,23.112,43.267
7,20,20,20,14.304,0.021,21.37,2.406,23.779,42.055
8,20,20,20,16.419,0.023,21.336,2.25,23.589,42.392
9,18,18,18,16.048,0.022,20.484,1.999,22.487,44.471
10,17,17,17,14.059,0.022,20.44,1.882,22.325,44.792
11,17,17,17,14.046,0.022,20.363,1.942,22.308,44.826
12,16,16,16,15.235,0.027,20.755,1.833,22.592,44.264
13,16,16,16,14.024,0.023,20.347,1.91,22.261,44.922
14,15,15,15,14.065,0.024,19.966,1.741,21.71,46.061
15,16,16,16,15.101,0.022,20.431,1.932,22.367,44.708
16,16,16,16,14.158,0.023,20.232,1.86,22.095,45.259
17,16,16,16,14.194,0.024,20.146,1.905,22.054,45.343
18,19,19,19,14.258,0.023,20.73,2.218,22.95,43.572
19,18,18,18,14.1,0.022,20.915,1.99,22.908,43.653
20,16,16,16,14.043,0.022,20.377,1.844,22.223,44.997
21,16,16,16,14.978,0.023,20.398,1.879,22.281,44.882
22,15,15,15,14.107,0.023,20.658,1.8,22.462,44.52
23,15,15,15,14.037,0.023,20.201,1.85,22.054,45.342
24,14,14,14,15.183,0.022,21.155,1.758,22.916,43.638
25,15,15,15,13.902,0.026,24.121,1.685,25.81,38.745
26,17,17,17,14.917,0.033,21.158,2.113,23.275,42.965
27,17,17,17,15.147,0.025,20.552,1.986,22.542,44.362
28,16,16,16,13.985,0.023,20.63,1.848,22.481,44.482
29,15,15,15,14.011,0.025,23.26,1.763,25.027,39.956
30,16,16,16,14.415,0.024,20.27,1.898,22.171,45.105
31,16,16,16,15.481,0.022,20.476,1.885,22.365,44.713
32,16,16,16,15.237,0.02,19.996,1.831,21.831,45.807
33,16,16,16,15.123,0.025,20.073,1.812,21.888,45.687
34,17,17,17,14.931,0.023,21.457,1.998,23.46,42.627
35,16,16,16,14.634,0.029,22.156,1.851,24.01,41.649
36,18,18,18,15.584,0.028,20.777,2.132,22.913,43.644
37,17,17,17,14.135,0.024,20.706,2.027,22.737,43.982
38,16,16,16,14.141,0.022,20.179,1.881,22.063,45.324
39,16,16,16,14.497,0.026,20.36,1.966,22.329,44.785
40,16,16,16,14.564,0.024,21.056,1.942,23.001,43.475
41,16,16,16,15.107,0.021,20.203,1.813,22.02,45.413
42,16,16,16,14.718,0.023,19.825,1.941,21.77,45.936
43,16,16,16,14.148,0.024,20.03,1.899,21.933,45.594
44,16,16,16,14.234,0.022,22.129,1.859,23.991,41.682
45,17,17,17,14.724,0.024,20.182,2.143,22.327,44.788
46,16,16,16,14.386,0.022,20.136,1.852,21.991,45.474
47,17,17,17,14.473,0.022,19.937,1.955,21.896,45.671
48,18,18,18,14.701,0.023,19.885,3.646,23.534,42.492
49,17,17,17,14.052,0.022,20.705,1.912,22.62,44.209
50,18,18,18,14.029,0.02,20.443,2.093,22.539,44.368
51,18,18,18,14.37,0.02,22.346,2.176,24.526,40.774
52,16,16,16,14.105,0.025,24.36,1.877,26.241,38.108
53,16,16,16,13.941,0.028,19.752,1.751,21.506,46.498
54,16,16,16,19.046,0.027,20.625,1.859,22.488,44.469
55,15,15,15,14.987,0.028,23.659,1.716,25.378,39.405
56,15,15,15,15.131,0.029,22.591,1.782,24.377,41.023
57,15,15,15,17.457,0.022,20.245,1.854,22.102,45.245
58,17,17,17,15.002,0.022,20.503,2.03,22.536,44.373
59,16,16,16,14.909,0.022,20.492,1.929,22.424,44.594
60,18,18,18,15.545,0.021,20.408,2.106,22.517,44.411
61,17,17,17,14.726,0.02,20.304,1.942,22.25,44.943
62,17,17,17,15.32,0.025,20.428,2.136,22.568,44.311
63,15,15,15,15.079,0.025,20.827,1.738,22.567,44.312
64,15,15,15,15.032,0.023,20.488,1.799,22.291,44.862
65,16,16,16,13.953,0.024,20.385,1.923,22.311,44.821
66,16,16,16,14.983,0.023,20.05,1.845,21.898,45.666
67,16,16,16,14.075,0.023,20.523,1.868,22.394,44.654
68,16,16,16,14.977,0.023,20.335,1.88,22.218,45.008
