frame,raw_detection_count,target_detection_count,active_track_count,decode_ms,queue_wait_ms,inference_tracking_ms,state_build_ms,consumer_total_ms,instant_consumer_fps
98,27,27,27,19.277,0.025,26.068,4.555,30.626,32.652
99,29,29,29,18.983,0.026,27.116,5.122,32.241,31.016
100,29,29,29,18.954,0.027,26.904,4.573,31.48,31.766
101,30,30,30,19.327,0.024,28.4,4.633,33.037,30.269
102,30,30,30,20.114,0.029,31.669,4.868,36.542,27.366
103,30,30,30,18.58,0.028,26.932,4.887,31.823,31.424
104,27,27,27,19.461,0.023,26.002,4.262,30.268,33.038
105,27,27,27,19.086,0.03,27.076,4.347,31.428,31.819
106,28,28,28,20.147,0.025,27.37,4.545,31.919,31.33
107,28,28,28,18.454,0.024,26.384,4.626,31.013,32.244
108,26,26,26,19.294,0.026,26.257,4.283,30.545,32.739
109,26,26,26,18.149,0.026,26.326,4.959,31.289,31.96
110,25,25,25,19.291,0.027,27.677,4.076,31.757,31.489
111,28,28,28,19.508,0.024,25.871,4.701,30.576,32.705
112,27,27,27,19.114,0.026,26.379,4.386,30.769,32.5
113,29,29,29,19.247,0.024,26.584,4.765,31.352,31.896
114,27,27,27,18.985,0.026,26.427,4.607,31.038,32.218
115,28,28,28,21.697,0.026,26.339,4.688,31.031,32.226
116,28,28,28,18.29,0.025,27.1,4.446,31.55,31.695
117,28,28,28,20.002,0.027,26.915,4.502,31.42,31.826
118,27,27,27,18.363,0.026,28.332,4.442,32.778,30.508
119,28,28,28,18.45,0.027,25.991,4.658,30.653,32.623
120,26,26,26,18.8,0.027,26.158,4.145,30.307,32.995
121,28,28,28,19.246,0.025,26.022,4.585,30.611,32.668
122,27,27,27,19.262,0.025,26.003,4.288,30.295,33.009
123,26,26,26,20.396,0.027,25.953,4.245,30.201,33.111
124,27,27,27,19.274,0.027,25.801,4.107,29.912,33.432
125,27,27,27,19.167,0.025,27.625,4.449,32.078,31.174
126,24,24,24,18.804,0.026,26.302,4.021,30.326,32.975
127,25,25,25,18.39,0.026,25.963,4.113,30.079,33.246
128,26,26,26,19.143,0.024,25.953,4.359,30.316,32.986
129,26,26,26,18.932,0.025,29.287,4.382,33.673,29.697
130,28,28,28,20.438,0.027,25.828,4.389,30.221,33.09
131,27,27,27,19.014,0.027,26.149,4.614,30.767,32.503
132,28,28,28,18.542,0.023,26.567,4.606,31.177,32.075
133,24,24,24,18.699,0.026,25.651,3.849,29.504,33.894
134,27,27,27,18.145,0.027,26.004,4.413,30.421,32.872
135,26,26,26,18.853,0.024,26.002,4.271,30.277,33.029
136,26,26,26,19.694,0.026,26.013,4.547,30.564,32.718
137,23,23,23,18.807,0.027,26.142,3.672,29.819,33.536
138,25,25,25,18.788,0.026,27.213,4.005,31.221,32.029
139,23,23,23,19.352,0.026,25.524,3.727,29.255,34.182
140,23,23,23,18.473,0.026,25.357,3.781,29.142,34.315
141,23,23,23,18.549,0.027,25.628,3.745,29.376,34.042
142,25,25,25,18.992,0.028,25.692,3.983,29.679,33.694
143,26,26,26,18.796,0.026,25.858,4.475,30.337,32.964
144,26,26,26,18.527,0.025,26.061,4.343,30.408,32.886
145,27,27,27,18.459,0.029,25.799,4.345,30.148,33.17
146,26,26,26,18.542,0.025,25.662,4.229,29.894,33.451
147,25,25,25,18.516,0.024,26.161,4.184,30.349,32.95
148,26,26,26,18.519,0.025,25.66,4.114,29.777,33.583
149,26,26,26,19.103,0.024,27.712,4.085,31.801,31.446
150,27,27,27,18.547,0.029,26.361,4.251,30.616,32.663
151,26,26,26,18.701,0.026,29.19,4.41,33.604,29.759
152,26,26,26,18.689,0.028,26.255,4.445,30.704,32.569
153,25,25,25,18.711,0.026,26.25,3.932,30.187,33.127
154,26,26,26,19.453,0.025,25.665,4.413,30.083,33.242
155,26,26,26,19.113,0.026,26.334,4.026,30.363,32.934
156,25,25,25,18.408,0.026,25.499,3.943,29.445,33.961
157,26,26,26,18.976,0.025,25.087,4.243,29.333,34.091
158,26,26,26,19.046,0.026,26.931,4.278,31.212,32.039
159,28,28,28,18.662,0.025,26.473,4.499,30.975,32.284
160,27,27,27,18.941,0.025,26.36,4.43,30.793,32.475
161,25,25,25,18.811,0.026,25.774,4.06,29.839,33.514
162,26,26,26,18.595,0.025,25.688,4.278,29.969,33.368
163,26,26,26,19.599,0.024,26.18,4.28,30.463,32.827
164,26,26,26,19.073,0.024,26.42,4.052,30.476,32.812
165,27,27,27,19.061,0.028,26.144,4.084,30.24,33.069
166,25,25,25,18.509,0.025,26.384,4.341,30.729,32.543
167,25,25,25,19.129,0.025,28.282,4.117,32.402,30.862
168,25,25,25,19.302,0.025,26.141,3.937,30.082,33.243
169,24,24,24,19.058,0.028,25.818,3.9,29.721,33.646
170,26,26,26,18.788,0.025,26.036,4.159,30.198,33.114
171,27,27,27,19.144,0.025,26.333,4.362,30.698,32.576
172,26,26,26,20.913,0.027,26.174,4.205,30.383,32.913
173,26,26,26,19.084,0.027,26.749,4.117,30.87,32.393
174,27,27,27,18.531,0.025,26.134,4.23,30.367,32.931
175,27,27,27,18.523,0.025,26.606,4.409,31.019,32.238
176,28,28,28,19.121,0.024,26.842,4.849,31.695,31.551
177,29,29,29,18.688,0.025,26.907,5.005,31.915,31.334
178,28,28,28,19.15,0.027,27.107,4.732,31.843,31.404
179,28,28,28,19.062,0.025,27.501,4.504,32.008,31.242
180,28,28,28,19.412,0.026,26.483,4.75,31.237,32.013
181,27,27,27,19.258,0.025,25.799,4.445,30.249,33.059
182,30,30,30,19.178,0.026,26.355,5.114,31.473,31.773
183,26,26,26,19.182,0.024,26.966,4.412,31.382,31.865
184,24,24,24,19.65,0.024,25.754,4.097,29.854,33.496
185,26,26,26,19.319,0.023,26.167,4.267,30.437,32.855
186,24,24,24,18.958,0.026,25.653,4.064,29.721,33.646
187,24,24,24,18.506,0.025,25.786,4.05,29.839,33.513
188,24,24,24,18.753,0.027,28.617,4.118,32.739,30.545
189,24,24,24,18.67,0.025,26.146,3.805,29.955,33.383
