frame,raw_detection_count,target_detection_count,active_track_count,decode_ms,queue_wait_ms,inference_tracking_ms,state_build_ms,consumer_total_ms,instant_consumer_fps
1,21,21,21,24.563,24.677,497.466,2.572,500.04,2.0
2,19,19,19,19.72,0.03,25.523,2.149,27.675,36.134
3,18,18,18,19.479,0.018,23.342,1.818,25.163,39.74
4,18,18,18,25.435,0.021,22.357,1.978,24.338,41.088
5,17,17,17,19.107,0.02,21.391,1.831,23.226,43.054
6,17,17,17,19.329,0.022,21.923,1.888,23.816,41.989
7,18,18,18,22.431,0.022,22.095,2.061,24.159,41.392
8,18,18,18,16.536,0.022,21.605,1.951,23.559,42.447
9,16,16,16,18.678,0.029,21.09,1.859,22.953,43.568
10,15,15,15,17.228,0.024,21.142,1.697,22.842,43.779
11,16,16,16,15.276,0.024,20.915,1.813,22.731,43.992
12,14,14,14,16.45,0.022,20.131,1.574,21.709,46.065
13,15,15,15,18.552,0.04,20.213,1.695,21.911,45.64
14,14,14,14,17.811,0.018,20.233,1.56,21.796,45.88
15,14,14,14,17.924,0.02,20.248,1.543,21.794,45.884
16,15,15,15,18.078,0.021,20.311,1.646,21.96,45.538
17,14,14,14,17.536,0.02,20.452,1.603,22.059,45.333
18,17,17,17,19.204,0.018,20.555,1.874,22.432,44.58
19,17,17,17,17.37,0.017,22.416,1.972,24.392,40.998
20,15,15,15,17.311,0.022,20.772,1.634,22.409,44.624
21,15,15,15,17.789,0.025,20.53,1.78,22.313,44.817
22,14,14,14,17.232,0.023,20.437,1.573,22.014,45.426
23,14,14,14,18.909,0.022,20.402,1.596,22.0,45.454
24,13,13,13,20.606,0.022,20.991,1.544,22.538,44.369
25,13,13,13,17.436,0.022,20.375,1.528,21.906,45.651
26,15,15,15,17.461,0.02,20.341,1.768,22.112,45.224
27,15,15,15,17.745,0.02,19.946,1.688,21.636,46.219
28,15,15,15,18.747,0.02,21.692,1.726,23.421,42.696
29,14,14,14,17.336,0.019,20.135,1.534,21.672,46.143
30,15,15,15,17.604,0.025,20.094,1.722,21.819,45.832
31,15,15,15,17.341,0.021,20.406,1.64,22.05,45.352
32,15,15,15,17.55,0.02,20.083,1.71,21.795,45.881
33,15,15,15,18.659,0.022,19.939,1.669,21.611,46.273
34,15,15,15,17.379,0.022,20.144,1.773,21.919,45.622
35,15,15,15,17.618,0.02,20.47,1.709,22.182,45.082
36,16,16,16,17.68,0.021,20.556,1.887,22.446,44.551
37,15,15,15,17.358,0.02,20.293,1.663,21.96,45.538
38,14,14,14,18.18,0.024,20.638,1.701,22.342,44.759
39,14,14,14,17.828,0.024,19.937,1.607,21.547,46.41
40,14,14,14,17.197,0.021,19.995,1.624,21.622,46.248
41,14,14,14,17.34,0.02,19.796,1.643,21.442,46.637
42,14,14,14,17.531,0.022,19.98,1.616,21.6,46.297
43,14,14,14,18.996,0.02,20.205,1.611,21.819,45.831
44,14,14,14,18.999,0.019,20.176,1.56,21.739,46.001
45,15,15,15,18.467,0.02,20.083,1.738,21.824,45.821
46,15,15,15,17.414,0.019,22.143,1.756,23.902,41.837
47,16,16,16,17.461,0.021,19.937,1.78,21.721,46.038
48,16,16,16,19.302,0.022,20.514,1.873,22.39,44.663
49,15,15,15,17.386,0.02,20.171,1.673,21.847,45.772
50,16,16,16,17.164,0.019,20.031,1.853,21.886,45.691
51,16,16,16,17.726,0.02,23.391,1.824,25.219,39.652
52,15,15,15,17.128,0.022,22.206,1.702,23.91,41.823
53,15,15,15,18.818,0.026,20.301,1.751,22.055,45.341
54,15,15,15,17.549,0.021,20.225,1.77,21.998,45.459
55,14,14,14,17.279,0.02,20.088,1.642,21.733,46.013
56,14,14,14,17.166,0.02,19.581,1.64,21.224,47.117
57,14,14,14,17.677,0.02,20.322,1.612,21.938,45.584
58,15,15,15,17.952,0.019,19.922,1.814,21.739,46.001
59,15,15,15,17.524,0.021,20.043,1.717,21.763,45.949
60,16,16,16,18.594,0.021,20.575,1.826,22.404,44.635
61,16,16,16,17.443,0.018,19.894,1.823,21.72,46.041
62,15,15,15,17.422,0.022,20.434,1.731,22.168,45.11
63,14,14,14,19.076,0.021,20.599,1.65,22.251,44.941
64,14,14,14,17.169,0.021,20.754,1.591,22.349,44.745
65,13,13,13,17.291,0.022,20.325,1.561,21.889,45.685
66,13,13,13,18.141,0.021,19.939,1.492,21.434,46.654
67,13,13,13,17.197,0.02,20.528,1.502,22.032,45.388
68,14,14,14,19.041,0.021,20.347,1.592,21.943,45.573
69,14,14,14,17.803,0.02,19.665,1.593,21.261,47.035
70,14,14,14,18.086,0.02,19.838,2.604,22.446,44.552
71,14,14,14,17.637,0.021,19.616,1.605,21.224,47.117
72,13,13,13,17.439,0.019,19.723,1.659,21.385,46.762
73,13,13,13,18.613,0.02,19.95,1.525,21.479,46.557
74,14,14,14,17.231,0.02,20.21,1.61,21.823,45.824
75,14,14,14,17.553,0.019,20.174,1.578,21.755,45.966
76,14,14,14,19.187,0.019,20.099,1.593,21.695,46.093
77,14,14,14,18.93,0.021,19.913,1.702,21.618,46.258
78,13,13,13,18.709,0.019,20.106,1.52,21.629,46.235
