frame,raw_detection_count,target_detection_count,active_track_count,decode_ms,queue_wait_ms,inference_tracking_ms,state_build_ms,consumer_total_ms,instant_consumer_fps
98,23,23,23,14.354,0.023,23.222,2.476,25.702,38.907
99,24,24,24,15.497,0.022,21.912,2.61,24.526,40.774
100,24,24,24,14.241,0.02,22.105,2.638,24.747,40.41
101,27,27,27,15.41,0.021,26.091,3.028,29.122,34.338
102,26,26,26,16.024,0.022,23.423,2.863,26.29,38.038
103,25,25,25,14.305,0.02,21.885,2.826,24.715,40.461
104,23,23,23,14.38,0.02,22.516,2.577,25.096,39.846
105,23,23,23,14.678,0.02,22.173,2.711,24.888,40.18
106,24,24,24,14.385,0.022,22.294,2.592,24.891,40.176
107,23,23,23,14.475,0.021,21.468,2.561,24.032,41.611
108,21,21,21,14.627,0.022,21.445,2.291,23.74,42.124
109,21,21,21,14.441,0.021,21.876,2.424,24.303,41.148
110,20,20,20,14.478,0.022,21.864,2.23,24.097,41.499
111,23,23,23,14.616,0.02,21.31,2.574,23.887,41.864
112,22,22,22,14.324,0.022,21.77,2.5,24.274,41.196
113,24,24,24,14.45,0.022,21.854,2.637,24.496,40.823
114,22,22,22,15.537,0.021,22.355,2.437,24.795,40.331
115,23,23,23,14.349,0.022,22.249,2.521,24.773,40.367
116,23,23,23,14.317,0.022,22.009,2.486,24.498,40.82
117,23,23,23,14.569,0.022,21.857,2.6,24.46,40.883
118,22,22,22,14.339,0.021,21.894,2.444,24.341,41.083
119,23,23,23,14.288,0.022,21.101,2.604,23.708,42.179
120,21,21,21,15.78,0.021,21.685,2.353,24.041,41.596
121,23,23,23,14.416,0.021,21.303,2.578,23.884,41.87
122,22,22,22,14.51,0.022,21.76,2.574,24.337,41.09
123,21,21,21,15.513,0.021,21.314,2.351,23.668,42.251
124,22,22,22,14.393,0.02,21.242,2.38,23.625,42.328
125,22,22,22,14.422,0.022,21.736,2.366,24.105,41.485
126,21,21,21,14.648,0.021,21.623,2.356,23.982,41.698
