frame,raw_detection_count,target_detection_count,active_track_count,decode_ms,queue_wait_ms,inference_tracking_ms,state_build_ms,consumer_total_ms,instant_consumer_fps
98,7,7,7,12.711,0.026,18.358,0.935,19.296,51.825
99,7,7,7,12.409,0.025,18.437,0.954,19.394,51.563
100,8,8,8,14.306,0.024,18.286,1.173,19.463,51.379
101,8,8,8,12.335,0.025,21.212,1.066,22.281,44.881
102,8,8,8,12.442,0.025,23.173,1.087,24.263,41.214
103,8,8,8,12.377,0.025,19.153,1.098,20.255,49.371
104,9,9,9,12.344,0.024,19.001,1.183,20.187,49.536
105,9,9,9,12.543,0.025,19.031,1.182,20.216,49.465
106,9,9,9,12.52,0.021,18.699,1.275,19.977,50.058
107,8,8,8,13.713,0.025,18.836,1.133,19.973,50.068
108,8,8,8,12.461,0.024,18.813,1.125,19.941,50.148
109,8,8,8,12.394,0.021,18.34,1.058,19.401,51.543
110,7,7,7,12.475,0.065,18.348,0.936,19.286,51.85
111,7,7,7,12.356,0.028,18.942,0.964,19.91,50.226
112,9,9,9,12.357,0.026,18.776,1.114,19.893,50.269
113,9,9,9,12.369,0.028,19.063,1.221,20.289,49.289
114,7,7,7,12.355,0.027,19.175,0.99,20.168,49.585
115,8,8,8,12.465,0.026,18.993,1.048,20.044,49.891
116,7,7,7,12.454,0.026,18.377,0.936,19.317,51.769
117,5,5,5,12.312,0.027,18.118,0.796,18.916,52.864
118,6,6,6,12.344,0.025,17.937,0.878,18.819,53.138
119,6,6,6,12.389,0.027,18.489,0.952,19.445,51.427
120,6,6,6,12.422,0.026,20.73,0.866,21.599,46.298
121,7,7,7,12.337,0.025,18.993,0.953,19.949,50.127
122,8,8,8,12.411,0.026,18.928,1.077,20.008,49.98
123,7,7,7,12.26,0.023,18.665,0.934,19.603,51.012
124,5,5,5,12.36,0.026,18.613,0.776,19.392,51.567
125,5,5,5,12.371,0.026,18.315,0.845,19.164,52.182
126,5,5,5,12.383,0.024,18.365,0.742,19.11,52.329
127,5,5,5,12.344,0.027,18.149,0.78,18.932,52.821
128,5,5,5,12.3,0.023,18.092,0.741,18.836,53.09
129,5,5,5,12.43,0.028,17.659,0.767,18.43,54.26
130,5,5,5,12.336,0.026,17.687,0.767,18.457,54.179
131,5,5,5,12.317,0.032,17.902,0.749,18.654,53.608
132,5,5,5,12.372,0.025,17.821,0.736,18.561,53.878
133,5,5,5,12.356,0.028,17.986,0.755,18.745,53.347
134,5,5,5,12.229,0.027,18.167,0.75,18.921,52.853
135,6,6,6,12.337,0.026,18.899,0.896,19.798,50.509
136,9,9,9,12.345,0.026,18.75,1.182,19.936,50.161
137,7,7,7,12.317,0.025,18.592,1.004,19.599,51.022
138,5,5,5,12.279,0.029,18.993,0.797,19.794,50.521
139,5,5,5,12.305,0.024,18.48,0.836,19.321,51.758
140,5,5,5,12.38,0.026,17.787,0.755,18.545,53.922
141,7,7,7,12.337,0.024,18.195,0.942,19.14,52.246
142,7,7,7,12.438,0.024,18.265,0.93,19.198,52.088
143,7,7,7,12.316,0.025,18.313,1.015,19.332,51.728
144,8,8,8,12.342,0.025,18.557,1.115,19.676,50.824
145,8,8,8,12.37,0.025,18.358,1.055,19.417,51.502
146,9,9,9,12.311,0.025,18.628,1.152,19.783,50.548
147,8,8,8,12.323,0.025,18.706,1.048,19.757,50.615
148,8,8,8,12.305,0.025,18.943,1.018,19.964,50.089
149,9,9,9,12.215,0.026,18.565,1.153,19.722,50.705
150,9,9,9,12.28,0.025,18.637,1.188,19.829,50.431
151,9,9,9,12.365,0.024,22.057,1.202,23.262,42.989
