frame,raw_detection_count,target_detection_count,active_track_count,decode_ms,queue_wait_ms,inference_tracking_ms,state_build_ms,consumer_total_ms,instant_consumer_fps
98,7,7,7,12.375,0.024,17.87,0.916,18.789,53.222
99,7,7,7,12.314,0.025,18.129,0.926,19.059,52.469
100,8,8,8,12.404,0.026,20.977,1.027,22.007,45.44
101,8,8,8,13.447,0.027,22.145,1.07,23.219,43.069
102,8,8,8,12.295,0.024,23.335,1.033,24.371,41.032
103,8,8,8,12.265,0.033,20.826,1.108,21.938,45.584
104,9,9,9,12.25,0.034,22.887,1.141,24.032,41.612
105,9,9,9,12.363,0.027,24.228,1.135,25.368,39.42
106,9,9,9,12.758,0.034,23.005,1.994,25.004,39.994
107,8,8,8,14.11,0.035,22.995,1.044,24.044,41.59
108,8,8,8,12.481,0.033,22.094,1.007,23.105,43.281
109,8,8,8,12.715,0.028,24.2,1.09,25.294,39.536
110,7,7,7,12.597,0.032,22.234,0.963,23.2,43.103
111,7,7,7,13.451,0.033,21.641,0.946,22.591,44.266
112,9,9,9,13.899,0.033,23.831,1.116,24.951,40.079
113,9,9,9,13.139,0.033,22.676,1.179,23.858,41.914
114,7,7,7,12.48,0.032,24.083,1.022,25.108,39.828
115,8,8,8,12.494,0.021,18.911,1.099,20.013,49.967
116,7,7,7,12.673,0.022,17.937,0.925,18.865,53.008
117,5,5,5,19.859,0.025,17.589,0.724,18.316,54.598
118,6,6,6,16.209,0.028,17.939,0.883,18.825,53.12
119,6,6,6,18.339,0.024,18.062,0.82,18.886,52.95
120,6,6,6,12.529,0.024,18.455,0.797,19.254,51.937
121,8,8,8,12.332,0.022,18.586,1.016,19.605,51.007
122,9,9,9,12.275,0.024,22.454,1.131,23.587,42.396
123,8,8,8,12.297,0.03,19.189,1.021,20.214,49.47
124,5,5,5,12.329,0.026,18.783,0.762,19.548,51.157
125,6,6,6,12.275,0.024,18.061,0.865,18.929,52.83
126,6,6,6,12.335,0.023,18.085,0.797,18.886,52.949
127,6,6,6,12.314,0.024,18.033,0.839,18.875,52.98
128,6,6,6,12.41,0.024,17.99,0.84,18.833,53.098
129,7,7,7,12.35,0.022,18.322,0.989,19.314,51.775
130,7,7,7,12.291,0.026,17.937,0.915,18.855,53.036
131,6,6,6,12.264,0.024,17.891,0.827,18.722,53.413
132,6,6,6,12.327,0.025,17.781,0.806,18.591,53.789
133,6,6,6,12.282,0.027,17.878,0.807,18.689,53.509
134,5,5,5,12.307,0.024,18.082,0.744,18.829,53.11
135,7,7,7,12.361,0.025,18.078,0.956,19.037,52.531
136,10,10,10,12.336,0.024,18.648,1.171,19.822,50.448
137,7,7,7,12.211,0.025,18.525,0.919,19.447,51.421
138,6,6,6,12.211,0.023,18.319,0.877,19.2,52.085
139,6,6,6,12.485,0.024,18.066,0.831,18.9,52.911
140,6,6,6,12.233,0.025,17.503,0.825,18.332,54.55
141,8,8,8,12.268,0.023,18.447,0.992,19.442,51.435
142,8,8,8,12.25,0.023,18.417,1.072,19.494,51.299
143,8,8,8,12.282,0.024,18.698,1.11,19.81,50.479
144,9,9,9,12.28,0.024,18.826,1.157,19.985,50.037
145,10,10,10,12.282,0.026,18.785,1.267,20.056,49.86
146,11,11,11,12.279,0.026,18.642,1.359,20.005,49.988
147,9,9,9,12.259,0.024,18.861,1.197,20.062,49.845
148,10,10,10,12.299,0.022,18.665,1.268,19.937,50.158
149,11,11,11,12.216,0.023,19.046,1.34,20.389,49.046
150,11,11,11,12.263,0.027,18.616,1.314,19.933,50.167
151,12,12,12,12.239,0.024,23.195,1.386,24.584,40.677
152,13,13,13,12.192,0.027,21.852,1.555,23.411,42.715
153,11,11,11,12.243,0.024,20.518,1.339,21.86,45.745
154,11,11,11,12.299,0.025,19.783,1.411,21.198,47.175
155,11,11,11,12.286,0.022,19.096,1.325,20.424,48.962
156,9,9,9,12.297,0.023,18.503,1.158,19.664,50.854
157,9,9,9,12.439,0.021,18.698,1.186,19.886,50.286
158,10,10,10,12.294,0.023,18.799,1.297,20.099,49.753
159,8,8,8,12.321,0.02,18.594,1.166,19.764,50.598
160,8,8,8,12.277,0.023,18.399,1.033,19.436,51.452
161,10,10,10,12.257,0.022,18.675,1.175,19.853,50.371
162,10,10,10,12.283,0.023,18.666,1.207,19.876,50.312
163,10,10,10,12.203,0.024,18.294,1.241,19.538,51.182
164,10,10,10,12.278,0.025,18.098,1.216,19.317,51.767
165,8,8,8,12.205,0.025,18.573,1.04,19.616,50.978
166,8,8,8,12.282,0.021,18.196,0.994,19.193,52.101
167,9,9,9,12.321,0.026,18.097,1.151,19.252,51.943
168,8,8,8,12.346,0.025,18.03,1.049,19.083,52.403
169,8,8,8,12.357,0.025,17.981,1.047,19.031,52.545
170,8,8,8,13.683,0.023,18.517,1.091,19.611,50.993
171,9,9,9,12.359,0.025,18.917,1.095,20.016,49.96
172,8,8,8,12.319,0.024,19.167,1.018,20.188,49.534
173,8,8,8,12.322,0.022,18.586,1.028,19.618,50.975
174,8,8,8,12.338,0.024,18.645,1.027,19.676,50.825
175,7,7,7,12.297,0.023,18.219,0.924,19.146,52.231
176,6,6,6,12.305,0.024,17.772,0.879,18.654,53.607
177,7,7,7,12.434,0.022,18.129,0.971,19.104,52.346
178,7,7,7,12.217,0.023,18.458,0.955,19.416,51.504
179,7,7,7,12.294,0.022,18.23,0.901,19.134,52.264
180,8,8,8,12.282,0.023,18.226,1.039,19.268,51.898
181,9,9,9,12.282,0.023,18.574,1.136,19.714,50.726
182,9,9,9,12.293,0.022,18.236,1.23,19.469,51.364
183,9,9,9,12.374,0.023,19.41,1.581,20.995,47.631
184,9,9,9,12.302,0.021,18.819,1.081,19.903,50.243
185,8,8,8,12.285,0.023,18.883,1.67,20.557,48.646
186,10,10,10,12.401,0.025,18.32,1.243,19.565,51.111
187,9,9,9,12.363,0.023,18.435,1.258,19.696,50.771
188,8,8,8,12.392,0.023,18.752,1.04,19.795,50.517
189,9,9,9,12.388,0.024,18.626,1.105,19.733,50.676
190,12,12,12,12.3,0.024,18.795,1.406,20.203,49.497
191,9,9,9,13.573,0.026,18.456,1.177,19.637,50.923
192,9,9,9,13.571,0.03,18.796,1.118,19.918,50.206
193,9,9,9,12.257,0.025,18.99,1.111,20.105,49.74
194,9,9,9,12.324,0.022,18.695,1.115,19.813,50.472
195,9,9,9,12.287,0.024,18.564,1.148,19.715,50.722
196,9,9,9,12.298,0.026,18.744,1.145,19.893,50.269
197,9,9,9,12.359,0.023,18.743,1.169,19.915,50.212
198,9,9,9,12.328,0.02,18.073,1.128,19.204,52.072
199,10,10,10,12.256,0.02,18.194,1.152,19.349,51.682
200,9,9,9,12.285,0.025,18.158,1.075,19.236,51.986
201,8,8,8,12.248,0.022,21.026,1.035,22.064,45.324
202,8,8,8,12.245,0.024,22.9,1.05,23.953,41.749
203,9,9,9,12.318,0.024,18.616,1.147,19.766,50.592
204,10,10,10,12.3,0.022,18.415,1.217,19.635,50.93
205,9,9,9,12.281,0.021,18.016,1.069,19.088,52.389
206,8,8,8,12.244,0.024,17.94,1.031,18.974,52.704
207,8,8,8,12.216,0.022,17.81,0.976,18.789,53.222
208,8,8,8,12.288,0.025,17.556,0.984,18.544,53.927
209,8,8,8,12.271,0.021,17.753,0.979,18.735,53.376
210,7,7,7,12.268,0.024,18.1,0.922,19.025,52.563
211,8,8,8,12.297,0.02,18.326,1.024,19.353,51.671
212,8,8,8,12.296,0.02,18.677,1.034,19.715,50.723
213,8,8,8,12.46,0.028,21.175,1.028,22.206,45.034
214,8,8,8,12.355,0.027,18.28,1.016,19.298,51.818
215,8,8,8,12.341,0.024,18.129,1.1,19.233,51.995
216,8,8,8,13.486,0.022,20.655,1.075,21.733,46.013
217,9,9,9,12.296,0.022,18.455,1.131,19.589,51.048
218,9,9,9,12.324,0.023,18.496,1.092,19.591,51.043
219,9,9,9,12.31,0.023,18.086,1.079,19.169,52.168
220,9,9,9,12.307,0.027,18.484,1.109,19.596,51.031
221,7,7,7,12.342,0.024,19.034,0.941,19.978,50.055
222,8,8,8,12.367,0.024,18.76,1.086,19.85,50.378
223,8,8,8,12.271,0.023,20.741,1.103,21.848,45.77
224,8,8,8,12.332,0.03,27.634,1.171,28.808,34.713
225,8,8,8,12.243,0.028,23.882,1.038,24.924,40.121
226,8,8,8,12.394,0.031,24.201,1.069,25.274,39.567
227,7,7,7,12.362,0.034,23.375,0.94,24.319,41.12
228,7,7,7,12.346,0.025,21.709,0.971,22.684,44.084
229,7,7,7,12.387,0.026,22.747,0.957,23.708,42.18
230,6,6,6,12.552,0.025,21.942,0.884,22.829,43.804
231,9,9,9,12.411,0.026,20.128,1.146,21.278,46.997
232,8,8,8,12.433,0.024,19.313,1.019,20.335,49.176
233,10,10,10,12.382,0.027,19.668,1.275,20.947,47.74
234,11,11,11,12.395,0.027,19.562,1.348,20.913,47.816
235,9,9,9,12.339,0.025,19.111,1.789,20.904,47.839
236,10,10,10,12.306,0.023,19.265,1.241,20.509,48.758
237,9,9,9,12.37,0.025,19.448,1.07,20.521,48.731
238,10,10,10,12.25,0.03,19.358,1.216,20.578,48.595
239,9,9,9,12.302,0.032,19.34,1.132,20.475,48.839
240,10,10,10,12.302,0.025,19.316,1.206,20.527,48.717
241,8,8,8,13.56,0.045,22.28,1.045,23.328,42.868
242,8,8,8,12.387,0.028,19.049,1.035,20.088,49.781
243,8,8,8,13.524,0.028,18.755,1.016,19.774,50.572
244,8,8,8,12.335,0.029,18.579,1.033,19.616,50.98
245,7,7,7,12.398,0.027,18.76,0.983,19.746,50.643
246,7,7,7,12.409,0.025,19.173,0.943,20.119,49.703
247,8,8,8,12.329,0.026,18.963,1.052,20.018,49.954
248,9,9,9,12.397,0.025,19.372,1.126,20.502,48.777
249,8,8,8,12.301,0.025,18.811,1.047,19.861,50.349
250,8,8,8,12.201,0.025,18.411,0.987,19.402,51.542
251,8,8,8,12.257,0.026,21.76,1.024,22.788,43.883
252,9,9,9,12.224,0.03,24.987,1.198,26.188,38.185
253,11,11,11,12.272,0.029,19.793,1.34,21.137,47.311
254,10,10,10,12.273,0.027,19.281,1.263,20.548,48.667
255,12,12,12,12.256,0.029,19.206,1.351,20.561,48.636
256,11,11,11,12.195,0.026,19.992,1.243,21.238,47.086
257,12,12,12,12.198,0.029,19.85,1.418,21.271,47.012
258,11,11,11,12.254,0.029,19.443,1.318,20.764,48.159
259,11,11,11,12.348,0.024,19.508,1.317,20.829,48.01
260,15,15,15,12.28,0.025,19.885,1.719,21.607,46.281
261,13,13,13,12.378,0.024,19.677,1.525,21.206,47.157
262,9,9,9,12.266,0.022,20.483,1.12,21.607,46.281
263,8,8,8,12.324,0.027,20.525,1.09,21.618,46.257
264,10,10,10,12.243,0.026,20.578,1.198,21.779,45.916
265,11,11,11,12.234,0.029,20.17,1.357,21.532,46.443
266,11,11,11,12.286,0.03,20.051,1.285,21.34,46.861
267,11,11,11,12.348,0.029,20.887,1.345,22.236,44.972
268,11,11,11,12.374,0.027,20.144,1.325,21.473,46.57
269,11,11,11,12.337,0.033,22.92,1.293,24.217,41.293
270,12,12,12,12.537,0.029,20.207,1.401,21.612,46.271
271,11,11,11,12.349,0.026,20.465,1.295,21.763,45.95
272,10,10,10,12.37,0.025,19.596,1.23,20.83,48.008
273,11,11,11,12.344,0.025,19.561,1.292,20.856,47.949
274,12,12,12,12.467,0.024,19.665,1.417,21.086,47.424
275,12,12,12,12.378,0.023,19.151,1.5,20.655,48.415
276,12,12,12,12.42,0.026,19.867,1.283,21.154,47.273
277,12,12,12,12.322,0.026,19.49,1.35,20.843,47.978
278,11,11,11,12.32,0.026,19.354,1.277,20.633,48.465
279,10,10,10,12.327,0.023,19.726,1.248,20.977,47.671
280,10,10,10,12.35,0.021,22.076,1.223,23.302,42.915
281,9,9,9,12.41,0.023,23.047,1.217,24.267,41.208
282,9,9,9,12.381,0.022,21.483,1.087,22.573,44.301
283,8,8,8,12.347,0.022,20.066,1.049,21.119,47.351
284,9,9,9,12.406,0.021,20.693,1.135,21.832,45.805
285,9,9,9,13.639,0.022,20.845,1.122,21.971,45.515
286,11,11,11,12.429,0.024,19.662,1.294,20.959,47.712
287,13,13,13,12.509,0.023,19.649,1.482,21.133,47.318
288,13,13,13,12.347,0.022,20.611,1.569,22.183,45.079
289,11,11,11,12.39,0.022,20.027,1.31,21.341,46.859
290,9,9,9,12.282,0.022,20.408,1.061,21.472,46.573
291,8,8,8,12.376,0.023,19.172,0.982,20.158,49.609
292,9,9,9,12.42,0.023,19.178,1.086,20.267,49.342
293,10,10,10,12.288,0.021,19.903,1.255,21.161,47.256
294,10,10,10,12.354,0.021,19.837,1.18,21.02,47.574
295,12,12,12,12.298,0.022,19.351,1.391,20.745,48.203
296,12,12,12,12.29,0.022,19.675,1.339,21.017,47.58
297,13,13,13,12.319,0.04,22.128,1.508,23.639,42.303
298,14,14,14,12.314,0.022,20.654,1.62,22.278,44.888
299,13,13,13,12.276,0.025,20.263,1.515,21.781,45.912
300,15,15,15,12.27,0.023,20.089,2.377,22.47,44.505
301,14,14,14,12.249,0.021,23.216,1.59,24.81,40.307
302,13,13,13,12.325,0.024,22.95,1.474,24.428,40.937
303,14,14,14,12.314,0.025,20.19,1.64,21.833,45.803
304,16,16,16,12.315,0.021,20.202,1.757,21.961,45.535
305,16,16,16,12.385,0.022,20.115,1.801,21.919,45.622
306,18,18,18,14.275,0.021,20.719,1.966,22.688,44.076
307,16,16,16,12.266,0.02,20.129,1.728,21.86,45.745
308,14,14,14,12.303,0.023,19.835,1.556,21.393,46.744
309,14,14,14,12.272,0.023,20.437,1.62,22.06,45.331
310,16,16,16,12.331,0.022,20.307,1.744,22.054,45.344
311,14,14,14,12.306,0.023,19.798,1.621,21.429,46.666
312,14,14,14,12.372,0.02,19.808,1.564,21.376,46.781
313,14,14,14,12.276,0.021,19.84,1.564,21.407,46.714
314,15,15,15,12.319,0.021,19.404,1.675,21.082,47.434
315,15,15,15,13.465,0.019,19.617,1.666,21.286,46.978
316,17,17,17,12.317,0.021,21.431,1.859,23.293,42.932
317,17,17,17,12.301,0.021,19.659,1.851,21.514,46.482
318,17,17,17,12.305,0.021,20.08,1.911,21.994,45.466
319,17,17,17,12.297,0.021,19.929,1.791,21.723,46.034
320,18,18,18,12.301,0.021,20.32,1.983,22.306,44.83
321,18,18,18,12.276,0.019,20.205,1.984,22.192,45.061
322,18,18,18,12.269,0.021,20.441,1.962,22.406,44.631
323,16,16,16,12.303,0.018,20.193,1.837,22.033,45.386
324,17,17,17,12.253,0.019,23.462,1.913,25.378,39.404
325,16,16,16,12.282,0.023,20.176,1.764,21.943,45.572
326,15,15,15,12.281,0.023,20.667,1.724,22.394,44.654
327,14,14,14,12.418,0.022,20.368,1.607,21.979,45.499
328,15,15,15,12.284,0.02,20.829,1.683,22.515,44.416
329,15,15,15,12.272,0.02,20.945,1.724,22.672,44.106
330,14,14,14,12.282,0.022,20.659,1.599,22.261,44.922
331,14,14,14,12.319,0.021,20.508,1.545,22.056,45.34
332,13,13,13,12.27,0.022,20.704,1.525,22.231,44.981
333,12,12,12,12.296,0.019,20.573,1.363,21.939,45.581
334,13,13,13,12.283,0.019,20.276,1.509,21.788,45.897
335,12,12,12,12.209,0.019,21.115,1.393,22.511,44.424
336,13,13,13,12.277,0.021,20.882,1.502,22.387,44.669
337,12,12,12,12.266,0.026,20.822,1.39,22.215,45.015
338,11,11,11,12.243,0.018,20.783,1.308,22.093,45.262
339,14,14,14,12.284,0.021,20.819,1.536,22.358,44.726
340,13,13,13,12.271,0.021,20.599,1.472,22.074,45.303
341,15,15,15,12.281,0.019,20.83,1.736,22.569,44.309
342,13,13,13,12.271,0.02,21.342,1.476,22.82,43.821
343,11,11,11,12.189,0.021,20.547,1.368,21.919,45.623
344,12,12,12,12.221,0.02,20.378,1.411,21.792,45.888
345,11,11,11,12.292,0.02,20.331,1.328,21.662,46.164
346,11,11,11,12.295,0.021,20.414,1.275,21.692,46.099
347,9,9,9,12.372,0.023,20.334,1.213,21.551,46.402
348,10,10,10,12.375,0.019,20.149,1.196,21.348,46.843
349,10,10,10,12.394,0.021,20.241,1.213,21.458,46.603
350,11,11,11,12.438,0.021,20.809,1.286,22.097,45.254
351,12,12,12,12.423,0.02,23.576,1.382,24.96,40.063
352,11,11,11,12.288,0.025,22.767,1.279,24.049,41.581
353,11,11,11,12.361,0.021,20.432,1.288,21.724,46.032
354,12,12,12,13.502,0.019,20.465,1.394,21.862,45.741
355,13,13,13,12.318,0.02,20.481,1.491,21.975,45.505
356,14,14,14,12.363,0.019,20.442,1.533,21.979,45.499
357,12,12,12,12.463,0.02,20.594,1.386,21.983,45.489
358,12,12,12,12.246,0.057,20.652,1.353,22.008,45.438
359,14,14,14,12.276,0.021,21.025,1.626,22.654,44.142
360,13,13,13,12.297,0.019,20.425,1.491,21.919,45.621
361,11,11,11,12.294,0.02,20.297,2.33,22.63,44.19
362,10,10,10,12.206,0.018,20.14,1.224,21.367,46.801
363,9,9,9,12.301,0.019,20.088,1.085,21.176,47.223
364,11,11,11,12.252,0.054,20.485,1.289,21.777,45.92
365,10,10,10,12.224,0.02,20.024,1.202,21.229,47.106
366,10,10,10,12.279,0.019,20.29,1.246,21.539,46.428
367,12,12,12,14.447,0.02,20.392,1.376,21.771,45.932
368,14,14,14,12.233,0.024,20.296,1.636,21.936,45.588
369,13,13,13,12.368,0.021,20.309,1.468,21.78,45.914
370,12,12,12,12.36,0.023,20.408,1.39,21.801,45.87
371,13,13,13,12.301,0.022,20.473,1.471,21.947,45.565
372,13,13,13,12.279,0.021,20.795,1.538,22.337,44.769
373,15,15,15,12.158,0.02,20.97,1.65,22.623,44.203
374,17,17,17,12.199,0.021,20.809,1.903,22.715,44.023
375,16,16,16,12.153,0.021,20.83,1.838,22.671,44.109
376,16,16,16,12.186,0.022,21.009,1.717,22.729,43.996
377,14,14,14,12.217,0.022,21.055,1.555,22.613,44.223
378,14,14,14,12.232,0.022,24.226,1.544,25.774,38.799
379,17,17,17,12.211,0.021,21.224,1.83,23.056,43.373
380,14,14,14,12.211,0.021,20.62,1.655,22.278,44.887
381,16,16,16,12.247,0.019,20.959,1.736,22.699,44.054
382,16,16,16,12.176,0.021,20.751,1.715,22.469,44.506
383,14,14,14,12.253,0.021,20.666,1.698,22.367,44.709
384,13,13,13,12.219,0.021,20.564,1.416,21.983,45.489
385,13,13,13,12.183,0.021,20.049,1.502,21.554,46.395
386,11,11,11,12.185,0.021,20.066,1.325,21.394,46.742
387,12,12,12,12.227,0.021,20.423,1.385,21.811,45.849
388,14,14,14,12.162,0.02,20.105,1.577,21.685,46.114
389,15,15,15,12.136,0.02,20.0,1.685,21.688,46.109
390,14,14,14,12.155,0.02,20.301,1.644,21.948,45.563
391,13,13,13,12.137,0.02,20.131,1.507,21.641,46.208
392,13,13,13,12.172,0.021,20.024,1.538,21.565,46.371
393,12,12,12,12.181,0.02,19.802,1.387,21.192,47.188
394,11,11,11,12.151,0.02,20.235,1.325,21.563,46.376
395,11,11,11,12.153,0.028,20.697,1.286,21.987,45.482
396,13,13,13,12.164,0.024,20.494,1.476,21.973,45.51
397,12,12,12,12.171,0.021,20.246,1.486,21.736,46.007
398,12,12,12,12.256,0.021,20.444,1.534,21.981,45.493
399,13,13,13,12.153,0.021,20.318,1.55,21.871,45.723
400,13,13,13,12.235,0.023,22.057,1.528,23.589,42.393
401,12,12,12,12.172,0.022,22.545,1.406,23.955,41.746
402,13,13,13,12.205,0.025,23.339,1.474,24.816,40.296
403,13,13,13,12.183,0.023,20.106,1.475,21.584,46.331
404,14,14,14,12.134,0.022,20.338,1.72,22.062,45.327
405,12,12,12,12.147,0.022,22.104,1.4,23.507,42.541
