frame,timestamp_sec,capture_ms,infer_track_ms,state_ms,display_ms,total_loop_ms,person_count,average_fps,recent_fps
84,3.032345,0.543,31.055,0.628,0.003,32.245,1,28.025,29.891
85,3.064735,0.570,31.135,0.585,0.003,32.308,1,28.056,29.931
86,3.098188,0.542,32.274,0.595,0.003,33.429,1,28.076,29.929
87,3.136174,0.545,36.791,0.591,0.003,37.945,1,28.054,29.778
88,3.167335,0.578,29.939,0.644,0.003,31.179,1,28.094,29.853
89,3.198488,0.584,29.869,0.573,0.003,31.044,1,28.133,29.928
90,3.231758,0.527,32.116,0.564,0.003,33.225,1,28.153,29.932
91,3.275101,0.542,42.115,0.702,0.003,43.378,1,28.085,23.004
92,3.306492,0.565,30.070,0.357,0.003,31.006,1,28.123,26.840
93,3.338909,0.481,31.540,0.539,0.003,32.576,1,28.148,28.007
94,3.370095,0.589,30.006,0.562,0.003,31.176,1,28.184,28.917
95,3.400406,0.552,29.146,0.560,0.004,30.276,1,28.227,29.650
96,3.431334,0.550,29.765,0.583,0.003,30.914,1,28.264,30.062
97,3.462208,0.534,29.706,0.524,0.004,30.782,1,28.301,30.382
98,3.495006,1.450,30.771,0.564,0.003,32.804,1,28.322,30.391
99,3.529459,2.309,31.527,0.530,0.003,34.384,1,28.329,30.236
100,3.560100,1.226,28.833,0.562,0.003,30.640,1,28.365,30.457
101,3.592509,3.147,28.644,0.541,0.003,32.352,1,28.388,30.495
102,3.627322,3.167,31.054,0.598,0.003,34.840,1,28.391,30.335
103,3.662304,4.080,30.248,0.570,0.003,34.918,1,28.393,30.195
104,3.693859,0.527,30.404,0.566,0.003,31.516,1,28.421,30.297
105,3.729815,3.562,31.773,0.550,0.003,35.903,1,28.415,30.118
106,3.757878,0.446,27.024,0.558,0.003,28.044,1,28.469,30.412
107,3.795551,6.742,30.323,0.668,0.003,37.752,1,28.449,30.148
108,3.828579,1.936,30.366,0.595,0.003,32.918,1,28.466,30.159
109,3.862773,3.132,30.408,0.551,0.003,34.110,1,28.473,30.111
110,3.894104,0.571,30.158,0.547,0.003,31.294,1,28.501,30.197
111,3.929767,3.876,31.186,0.569,0.003,35.650,1,28.496,30.086
112,3.960188,0.683,29.118,0.505,0.003,30.323,1,28.530,30.205
113,3.992378,2.534,29.102,0.472,0.003,32.126,1,28.551,30.243
114,4.027861,3.117,31.847,0.582,0.003,35.564,1,28.547,30.147
115,4.061508,2.983,30.028,0.585,0.003,33.614,1,28.557,30.129
116,4.094337,2.019,30.169,0.576,0.003,32.783,1,28.572,30.142
117,4.130193,3.984,31.240,0.607,0.003,35.852,1,28.566,30.051
118,4.162570,0.703,31.014,0.567,0.003,32.302,1,28.584,30.082
119,4.195769,1.565,31.013,0.571,0.003,33.167,1,28.596,30.083
120,4.228594,1.922,30.280,0.600,0.003,32.821,1,28.611,30.094
121,4.275013,2.906,42.779,0.481,0.002,46.183,1,28.535,21.603
122,4.306284,0.610,30.139,0.372,0.002,31.135,1,28.560,25.823
123,4.342757,0.466,35.600,0.573,0.003,36.654,1,28.550,26.287
124,4.372865,0.634,28.847,0.355,0.002,29.850,1,28.583,27.775
125,4.402745,0.472,29.018,0.555,0.002,30.060,1,28.615,28.720
126,4.432134,0.601,28.184,0.554,0.003,29.356,1,28.651,29.487
127,4.462775,0.548,29.487,0.573,0.003,30.626,1,28.678,29.896
128,4.493873,0.701,29.767,0.505,0.002,30.990,1,28.703,30.169
129,4.527895,3.195,30.273,0.569,0.003,34.055,1,28.707,30.074
130,4.563057,3.704,30.834,0.596,0.003,35.188,1,28.705,29.900
131,4.596700,1.823,31.129,0.575,0.003,33.545,1,28.713,29.886
132,4.629668,0.828,31.320,0.688,0.003,32.855,1,28.723,29.914
133,4.661646,0.538,30.700,0.543,0.003,31.798,1,28.742,30.024
134,4.695483,2.176,31.066,0.695,0.003,33.956,1,28.747,29.980
135,4.728871,1.383,31.254,0.638,0.003,33.295,1,28.756,29.982
136,4.761911,1.190,31.152,0.754,0.003,33.118,1,28.765,29.993
137,4.795236,2.010,30.499,0.643,0.004,33.171,1,28.775,30.000
138,4.830170,1.850,32.386,0.611,0.003,34.867,1,28.774,29.921
139,4.863218,0.552,31.830,0.562,0.003,32.960,1,28.784,29.941
140,4.895913,1.541,30.535,0.612,0.003,32.710,1,28.796,29.971
141,4.931408,1.148,33.679,0.521,0.003,35.366,1,28.792,29.884
142,4.962289,0.457,29.860,0.549,0.003,30.883,1,28.814,29.988
143,4.994311,1.647,29.772,0.558,0.003,31.995,1,28.830,30.039
