frame,timestamp_sec,capture_ms,infer_track_ms,state_ms,display_ms,total_loop_ms,person_count,average_fps,recent_fps
0,0.247691,32.073,215.113,0.098,0.005,247.307,0,4.036,4.036
1,0.312262,0.539,63.833,0.115,0.003,64.506,0,6.402,15.485
2,0.361804,0.519,48.858,0.138,0.004,49.535,0,8.289,17.522
3,0.413129,0.589,50.541,0.140,0.004,51.291,0,9.679,18.130
4,0.461064,0.530,47.210,0.140,0.004,47.899,0,10.841,18.744
5,0.510047,0.583,48.203,0.141,0.003,48.947,0,11.760,19.056
6,0.561770,0.564,50.962,0.144,0.003,51.690,0,12.457,19.101
7,0.612653,0.588,50.094,0.143,0.004,50.845,0,13.055,19.178
8,0.664727,0.561,51.313,0.146,0.004,52.041,0,13.536,19.181
9,0.714576,0.598,49.048,0.102,0.003,49.764,0,13.992,19.277
10,0.766623,0.465,51.440,0.141,0.004,52.064,0,14.346,19.269
11,0.814680,0.564,47.294,0.119,0.003,47.994,0,14.728,19.400
12,0.863673,0.475,48.356,0.137,0.003,48.986,0,15.050,19.480
13,0.910048,0.614,45.569,0.128,0.003,46.331,0,15.382,19.626
14,0.956964,0.540,46.197,0.133,0.003,46.889,0,15.672,19.738
15,1.005100,0.558,47.388,0.133,0.003,48.098,0,15.917,19.804
16,1.052513,0.538,46.687,0.131,0.004,47.376,0,16.150,19.880
17,1.102388,0.556,49.134,0.136,0.004,49.845,0,16.326,19.889
18,1.149292,0.529,46.183,0.102,0.003,46.830,0,16.530,19.965
19,1.198460,0.490,48.535,0.127,0.004,49.169,0,16.686,19.983
20,1.244711,0.531,45.541,0.130,0.003,46.221,0,16.870,20.059
21,1.292145,0.553,46.698,0.132,0.003,47.401,0,17.024,20.106
22,1.338685,0.568,45.786,0.187,0.003,46.559,0,17.179,20.164
23,1.393977,0.542,54.509,0.127,0.003,55.197,0,17.215,20.064
24,1.440188,0.567,45.466,0.101,0.003,46.149,0,17.358,20.126
25,1.486828,0.476,46.025,0.134,0.004,46.651,0,17.485,20.175
26,1.536432,0.623,48.792,0.138,0.004,49.573,0,17.572,20.174
27,1.581911,0.570,44.713,0.101,0.003,45.399,0,17.699,20.237
28,1.631549,0.543,48.954,0.145,0.003,49.663,0,17.773,20.233
29,1.679996,0.624,47.619,0.107,0.003,48.365,0,17.856,20.247
30,1.728486,0.487,47.858,0.133,0.004,48.496,0,17.933,20.259
31,1.785166,0.563,55.857,0.140,0.003,56.581,0,17.924,17.644
32,1.819417,0.582,33.472,0.131,0.004,34.204,0,18.136,21.998
33,1.859949,0.605,39.742,0.202,0.003,40.568,0,18.278,22.810
34,1.900227,0.532,39.493,0.099,0.003,40.139,0,18.418,23.297
35,1.944906,0.470,44.071,0.124,0.003,44.681,0,18.509,23.105
36,1.999149,0.547,53.522,0.124,0.003,54.211,0,18.507,22.170
37,2.044585,0.531,44.731,0.130,0.003,45.410,0,18.584,22.146
38,2.092252,0.565,46.919,0.150,0.004,47.655,0,18.639,21.992
39,2.142179,0.574,49.145,0.139,0.003,49.877,0,18.671,21.756
40,2.191926,0.585,48.963,0.249,0.004,49.820,0,18.703,21.573
41,2.240505,0.738,47.531,0.102,0.002,48.386,0,18.745,21.485
42,2.284404,0.466,43.292,0.130,0.003,43.906,0,18.822,21.587
43,2.333694,0.567,48.538,0.133,0.004,49.258,0,18.853,21.481
44,2.378481,0.540,44.062,0.115,0.002,44.734,0,18.919,21.540
45,2.424369,0.516,45.209,0.126,0.003,45.869,0,18.973,21.556
46,2.471250,0.531,46.175,0.132,0.004,46.856,0,19.018,21.542
47,2.516045,0.628,43.981,0.123,0.002,44.749,0,19.077,21.586
48,2.565039,0.553,48.270,0.130,0.003,48.971,0,19.102,21.517
49,2.613668,0.540,47.905,0.124,0.002,48.589,0,19.129,21.465
50,2.664663,0.539,50.280,0.133,0.003,50.971,0,19.138,21.364
51,2.711850,0.544,46.454,0.180,0.003,47.198,0,19.174,21.355
52,2.760554,0.556,47.907,0.131,0.003,48.615,0,19.198,21.317
53,2.808151,0.567,46.843,0.134,0.002,47.563,0,19.229,21.303
54,2.856834,0.567,47.928,0.139,0.004,48.654,0,19.251,21.270
55,2.905572,0.579,47.964,0.104,0.003,48.662,0,19.273,21.240
