07-12-2026 04:20:11 RAM 3086/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [8%@729,9%@729,0%@729,16%@729,100%@1344,0%@1344] EMC_FREQ 10%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.406C soc2@47.656C soc0@48.5C gpu@48.062C tj@48.5C soc1@47.218C VDD_IN 4776mW/4534mW VDD_CPU_GPU_CV 1430mW/1281mW VDD_SOC 1194mW/1161mW
07-12-2026 04:20:11 RAM 3089/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [8%@729,0%@729,0%@729,8%@729,100%@1344,0%@1344] EMC_FREQ 10%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.281C soc2@47.562C soc0@48.468C gpu@48.375C tj@48.5C soc1@47.187C VDD_IN 4625mW/4540mW VDD_CPU_GPU_CV 1313mW/1284mW VDD_SOC 1154mW/1161mW
07-12-2026 04:20:12 RAM 3095/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,100%@1344,0%@1344] EMC_FREQ 9%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.343C soc2@47.562C soc0@48.5C gpu@48.187C tj@48.5C soc1@47.281C VDD_IN 4505mW/4538mW VDD_CPU_GPU_CV 1275mW/1283mW VDD_SOC 1156mW/1161mW
07-12-2026 04:20:12 RAM 3099/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1344,0%@729,9%@729,9%@729,100%@1344,0%@1344] EMC_FREQ 9%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.187C soc2@47.593C soc0@48.468C gpu@48.125C tj@48.468C soc1@47.187C VDD_IN 4432mW/4531mW VDD_CPU_GPU_CV 1196mW/1278mW VDD_SOC 1158mW/1160mW
07-12-2026 04:20:12 RAM 3103/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,23%@729,0%@729,0%@729,100%@1344,0%@1344] EMC_FREQ 9%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.218C soc2@47.625C soc0@48.5C gpu@48.187C tj@48.5C soc1@47.218C VDD_IN 4353mW/4521mW VDD_CPU_GPU_CV 1158mW/1271mW VDD_SOC 1158mW/1160mW
07-12-2026 04:20:12 RAM 3107/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,20%@729,8%@729,0%@729,100%@1344,0%@1344] EMC_FREQ 9%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.218C soc2@47.625C soc0@48.406C gpu@48.093C tj@48.406C soc1@47.375C VDD_IN 4313mW/4509mW VDD_CPU_GPU_CV 1156mW/1264mW VDD_SOC 1158mW/1160mW
07-12-2026 04:20:12 RAM 3109/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,9%@729,8%@729,0%@729,100%@1344,0%@1344] EMC_FREQ 8%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.187C soc2@47.531C soc0@48.468C gpu@48.093C tj@48.468C soc1@47.375C VDD_IN 4280mW/4497mW VDD_CPU_GPU_CV 1118mW/1257mW VDD_SOC 1158mW/1160mW
07-12-2026 04:20:12 RAM 3110/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,9%@729,9%@729,0%@729,100%@1344,0%@1344] EMC_FREQ 8%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.437C soc2@47.593C soc0@48.343C gpu@48.375C tj@48.437C soc1@47.343C VDD_IN 4280mW/4486mW VDD_CPU_GPU_CV 1078mW/1248mW VDD_SOC 1160mW/1160mW
07-12-2026 04:20:12 RAM 3111/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [15%@729,8%@729,16%@729,8%@729,100%@1344,0%@1344] EMC_FREQ 8%@665 GR3D_FREQ 23%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.5C soc2@47.625C soc0@48.468C gpu@48.187C tj@48.5C soc1@47.281C VDD_IN 4240mW/4475mW VDD_CPU_GPU_CV 1038mW/1238mW VDD_SOC 1160mW/1160mW
07-12-2026 04:20:12 RAM 3113/7620MB (lfb 3x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@729,0%@729,15%@729,0%@729,100%@1344,0%@1344] EMC_FREQ 8%@665 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.5C soc2@47.625C soc0@48.531C gpu@48.093C tj@48.5C soc1@47.156C VDD_IN 4200mW/4462mW VDD_CPU_GPU_CV 1078mW/1230mW VDD_SOC 1160mW/1160mW
